(Almost) Original Fragment,Fragment,Tags,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
"The devil damn thee black, ","The devil damn thee black, ",0 1 1 0 1,religion,colors,,,,,
thou cream-faced loon! ,thou cream faced loon! ,0 1 1 1,food,anatomy,social status,,,,
Where got'st thou that goose look?,Where got'st thou that goose look?,0 0 0 0 1 1,animals,facial expressions,,,,,
"Geese, villain!","Geese, villain!",1 1,animals,ethics,,,,,
"Go prick thy face, and over-red thy fear, ","Go prick thy face, and over red thy fear, ",0 1 0 1 0 1 1 0 1,violence,anatomy,colors,emotions,,,
Thou lily-liver'd boy. ,Thou lily liver'd boy. ,0 1 1 1,nature,anatomy,life's cycle,,,,
those linen cheeks of thine Are counsellors to fear. ,those linen cheeks of thine Are counsellors to fear. ,0 1 1 0 0 0 1 0 1,clothes,anatomy,politics,emotions,,,
whey-face.,whey face.,1 1,food,anatomy,,,,,
I am sick at heart,I am sick at heart,0 0 1 0 1,medicine,anatomy,,,,,
"my way of life Is fall'n into the sere, the yellow leaf,","my way of life Is fall'n into the sere, the yellow leaf,",0 1 0 1 0 1 0 0 1 0 1 1,spatial,life,destruction,nature,colors,,
"mouth-honour, breath Which the poor heart would fain deny, ","mouth honour, breath Which the poor heart would fain deny, ",1 1 1 0 0 0 1 0 1 1,anatomy,recognition,breathing,feelings,privation,,
I'll fight till from my bones my flesh be hack'd.,I'll fight till from my bones my flesh be hack'd.,0 1 0 0 0 1 0 1 0 1,violence,anatomy,,,,,
"Pluck from the memory a rooted sorrow,","Pluck from the memory a rooted sorrow,",1 0 0 1 0 1 1,agriculture,mental faculty & state,emotions,,,,
Raze out the written troubles of the brain,Raze out the written troubles of the brain,1 1 0 1 1 0 0 1,language,suffering,anatomy,,,,
with some sweet oblivious antidote Cleanse the stuffed bosom of that perilous stuff Which weighs upon the heart,with some sweet oblivious antidote Cleanse the stuffed bosom of that perilous stuff Which weighs upon the heart,0 0 0 1 1 1 0 1 1 0 0 1 0 0 1 0 0 1,mental faculty & state,medicine,hindrance,anatomy,danger,weight,
Throw physic to the dogs,Throw physic to the dogs,1 1 0 0 1,food,medicine,animals,,,,
"cast The water of my land, find her disease, And purge it to a sound and pristine health,","cast The water of my land, find her disease, And purge it to a sound and pristine health,",1 0 1 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1,nature,geography,medicine,,,,
"I would applaud thee [doctor] to the very echo, that should applaud again","I would applaud thee [doctor] to the very echo, that should applaud again",0 0 1 1 1 0 0 0 1 0 0 1 0,recognition,medicine,sounds,,,,
"What rhubarb, senne, or what purgative drug, Would scour these English [soldiers] hence?","What rhubarb, senne, or what purgative drug, Would scour these English [soldiers] hence?",0 1 1 0 0 1 1 0 1 0 1 1 0,medicine,military,,,,,
none serve with him but constrained things Whose hearts are absent too.,none serve with him but constrained things Whose hearts are absent too.,0 1 0 0 0 1 0 0 1 0 1 0,social relations,incarceration,anatomy,privation,,,
"Thoughts speculative their unsure hopes relate, ","Thoughts speculative their unsure hopes relate, ",1 1 0 1 1 1,mental faculty & state,feelings,emotions,language,,,
But certain issue strokes must arbitrate:,But certain issue strokes must arbitrate,0 1 1 1 0 1,mental faculty & state,violence,judiciary,,,,
our castle's strength Will laugh a siege to scorn:,our castle's strength Will laugh a siege to scorn,0 1 1 0 1 0 1 0 1,architecture,physical attributes,derision,military,,,
famine and the ague eat them up [enemies]:,famine and the ague eat them up [enemies],1 0 0 1 1 1 1 1,food,medicine,military,,,,
"beard to beard, And beat them","beard to beard, And beat them",1 0 1 0 1 0,anatomy,violence,,,,,
the taste of fears;,the taste of fears,0 1 0 1,food,emotions,,,,,
my senses would have cooled To hear a night-shriek;,my senses would have cooled To hear a night shriek,0 1 0 0 1 0 1 0 1 1,sensations,temperature,darkness,sounds,,,
my fell of hair Would at a dismal treatise rouse and stir As life were in't:,my fell of hair Would at a dismal treatise rouse and stir As life were in't,0 1 1 1 0 0 0 1 1 0 0 1 0 1 0 0,anatomy,feelings,language,movement,life,,
I have supp'd full with horrors;,I have supp'd full with horrors,0 0 1 0 0 1,food,emotions,,,,,
"to-morrow, Creeps in this petty pace from day to day To the last syllable of recorded time.","to morrow, Creeps in this petty pace from day to day To the last syllable of recorded time.",1 1 1 0 0 0 1 0 1 1 1 0 0 0 1 0 1 1,time,movement,language,,,,
all our yesterdays have lighted fools The way to dusty death. ,all our yesterdays have lighted fools The way to dusty death. ,0 0 1 0 1 1 0 1 0 0 1,time,light,theatre,spatial,death,,
"Life's but a walking shadow, ","Life's but a walking shadow, ",1 0 0 1 1,life,movement,darkness,,,,
[life is] a poor player That struts and frets his hour upon the stage And then is heard no more: ,[life is] a poor player That struts and frets his hour upon the stage And then is heard no more ,1 1 0 0 1 0 1 0 1 0 1 0 0 1 0 0 0 1 0 0,life,theatre,movement,language,time,sensations,
"it is a tale Told by an idiot, full of sound and fury, Signifying nothing.","it is a tale Told by an idiot, full of sound and fury, Signifying nothing.",0 0 0 1 0 0 0 1 1 0 1 0 1 1 1,language,mental faculty & state,sounds,emotions,privation,,
Liar and slave!,Liar and slave!,1 1 1,language,social status,,,,,
I pull in resolution,I pull in resolution,0 1 1 1,equestrian,mental faculty & state,,,,,
the fiend That lies like truth:,the fiend That lies like truth,0 1 0 1 0 1,religion,language,,,,,
"I gin to be aweary of the sun, ","I gin to be aweary of the sun, ",0 0 0 0 1 0 0 1,mental faculty & state,nature,,,,,
"Blow, wind, come wrack, ","Blow, wind, come wrack, ",1 1 0 1,nature,destruction,,,,,
our trumpets speak; those clamorous harbingers of blood and death.,our trumpets speak those clamorous harbingers of blood and death.,0 1 1 0 1 1 0 1 0 1,music,language,sounds,social status,violence,death,
"They have tied me to a stake; I cannot fly, But, bear-like, I must fight the course.","They have tied me to a stake I cannot fly, But, bear like, I must fight the course.",0 0 1 0 0 0 1 0 0 1 0 1 1 0 0 1 0 1,incarceration,danger,animals,violence,games & sport,,
a hotter name Than any is in hell.,a hotter name Than any is in hell.,0 1 1 0 0 0 0 1,temperature,language,religion,,,,
The devil himself could not pronounce a title More hateful to mine ear.,The devil himself could not pronounce a title More hateful to mine ear.,0 1 0 0 0 1 0 1 0 1 0 0 1,religion,language,social status,emotions,anatomy,,
with my sword I'll prove the lie thou speak'st.,with my sword I'll prove the lie thou speak'st.,0 0 1 0 1 0 1 0 1,weapons,judiciary,language,,,,
"The day almost itself professes yours [your victory],","The day almost itself professes yours [your victory],",0 1 0 0 1 1 1 1,time,language,military,,,,
"Why should I play the Roman fool, and die On mine own sword?","Why should I play the Roman fool, and die On mine own sword?",0 0 0 1 0 1 1 0 1 0 0 0 1,theatre,ethnicity,mental faculty & state,death,weapons,,
[king] hell-hound,[king] hell hound,1 1 1,politics,religion,animals,,,,
my soul is too much charged With blood ,my soul is too much charged With blood ,0 1 0 1 1 1 0 1,religion,quantities,judiciary,anatomy,,,
I have no words: My voice is in my sword,I have no words My voice is in my sword,0 0 0 1 0 1 0 0 0 1,language,sounds,weapons,,,,
thou bloodier villain Than terms ,thou bloodier villain Than terms ,0 1 1 0 1,violence,ethics,language,,,,
Thou losest labour: As easy mayst thou the intrenchant air With thy keen sword impress as make me bleed:,Thou losest labour As easy mayst thou the intrenchant air With thy keen sword impress as make me bleed,0 1 1 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 1,privation,labor,appearamce,nature,weapons,injuries,
"Accursed be that tongue that tells me so, For it hath cowed my better part of man!","Accursed be that tongue that tells me so, For it hath cowed my better part of man!",1 0 0 1 0 1 0 0 0 0 0 1 0 1 1 0 1,religion,anatomy,language,emotions,character traits & nature,men,
"be these juggling fiends no more believed, That palter with us in a double sense; ","be these juggling fiends no more believed, That palter with us in a double sense ",0 0 1 1 0 0 1 0 1 0 0 0 0 1 1,theatre,religion,mental faculty & state,language,quantities,,
"live to be the show and gaze o' the time: We'll have thee, as our rarer monsters are, Painted on a pole, and underwrit, 'Here may you see the tyrant.'","live to be the show and gaze o' the time We'll have thee, as our rarer monsters are, Painted on a pole, and underwrit, 'Here may you see the tyrant.'",1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 1,life,theatre,time,deformities,art,language,politics
"I will not yield, To kiss the ground before young Malcolm's [traitor] feet, ","I will not yield, To kiss the ground before young Malcolm's [traitor] feet, ",0 0 0 1 0 1 0 1 0 0 1 1 1,social relations,affection,nature,politics,anatomy,,
And to be baited with the rabble's curse.,And to be baited with the rabble's curse.,0 0 0 1 0 0 1 1,animals,social status,language,,,,
So great a day as this is cheaply bought.,So great a day as this is cheaply bought.,0 0 0 1 0 0 0 1 1,time,economics,,,,,
paid a soldier's debt:,paid a soldier's debt,1 1 1 1,economics,military,,,,,
"where he fought, But like a man he died.","where he fought, But like a man he died.",0 0 1 0 0 0 1 0 1,violence,men,death,,,,
"your cause of sorrow Must not be measured by his worth, ","your cause of sorrow Must not be measured by his worth, ",0 1 0 1 0 0 0 1 0 0 1,mental faculty & state,emotions,size,economics,,,
"Had I as many sons as I have hairs, ","Had I as many sons as I have hairs, ",0 0 0 1 1 0 0 0 1,quantities,familial,anatomy,,,,
"I would not wish them to a fairer death: And so, his knell is knoll'd.","I would not wish them to a fairer death And so, his knell is knoll'd.",0 0 0 1 0 0 0 1 1 0 0 0 1 0 1,mental faculty & state,appearance,death,music,,,
"He's worth more sorrow, And that I'll spend for him.","He's worth more sorrow, And that I'll spend for him.",0 1 1 1 0 0 0 1 0 0,economics,quantities,emotions,,,,
He's worth no more; They say he parted well and paid his score:,He's worth no more They say he parted well and paid his score,0 1 0 1 0 0 0 1 0 0 1 0 1,economics,quantities,death,,,,
the time is free:,the time is free,0 1 0 1,time,social relations,,,,,
"compass'd with thy kingdom's pearl,","compass'd with thy kingdom's pearl,",1 0 0 1 1,spatial,politics,economics,,,,
"We shall not spend a large expense of time Before we reckon with your several loves,","We shall not spend a large expense of time Before we reckon with your several loves,",0 0 0 1 0 1 1 0 1 0 0 1 0 0 0 1,economics,quantities,time,devotion,,,
"to do [rule], Which would be planted newly with the time,","to do [rule], Which would be planted newly with the time,",0 1 1 0 0 0 1 0 0 0 1,politics,agriculture,time,,,,
"our exiled friends abroad, That fled the snares of watchful tyranny;","our exiled friends abroad, That fled the snares of watchful tyranny",0 1 1 1 0 1 0 1 0 1 1,social relations,geography,danger,hunting,politics,,
and his fiend-like queen.,and his fiend like queen.,0 0 1 0 1,religion,politics,,,,,
"when they are ripe, makes so many fallings. viz, Mad wenches because they are not gathered in time, are faine to drop of them selues,","when they are ripe, makes so many fallings. viz, Mad wenches because they are not gathered in time, are faine to drop of them selues,",0 0 0 1 0 0 0 1 0 1 1 0 0 0 0 1 0 1 0 1 0 1 0 0 0,agriculture,consumption,mental faculty & state,women,time,feelings,sexuality
his [the horse's] skin sticks to his back with very heate,his [the horse's] skin sticks to his back with very heate,0 0 1 1 1 0 0 1 0 0 1,equestrian,anatomy,adhesion,temeprature,,,
the true picture of a Common seruingman.,the true picture of a Common seruingman.,0 0 1 0 0 0 1,art,social status,,,,,
for shee beares the blowes.,for shee beares the blowes.,0 0 1 0 1,reproduction,violence,,,,,
"the lefte hand of her wit, and nere be here owne woman agen.","the lefte hand of her wit, and nere be here owne woman agen.",0 1 1 0 0 1 0 1 0 0 1 1 0,anatomy,mental faculty & state,time,women,,,
he owes more then his skins worth.,he owes more then his skins worth.,0 1 1 0 0 1 1,economics,quantities,anatomy,,,,
he calls his wife whore as familiarly as one would cal Mal & Dol,he calls his wife whore as familiarly as one would cal Mal & Dol,0 1 0 1 1 0 1 0 0 0 1 1 1 1,language,matrimony,social relation,sexuality,,,
"That Ryotts child must needs be beggery,","That Ryotts child must needs be beggery,",0 1 1 0 0 0 1,character traits & nature,reproduction,economics,,,,
"Dice, and voluptuous meetings, midnight Reuels, Taking his bed with surfetts ","Dice, and voluptuous meetings, midnight Reuels, Taking his bed with surfetts ",1 0 1 1 1 1 0 0 1 0 1,games & sports,sexuality,darkness,joviality,food,domestic,
"that which killes me most, When he recounts his Losses […] The [weaknes of his state] soe much deiected, Not as a man repentant: but halfe madd:","that which killes me most, When he recounts his Losses […] The [weaknes of his state] soe much deiected, Not as a man repentant but halfe madd",0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 1,violence,language,economics,character traits & nature,feelings,religion,mental faculty & state
"that he frights my heart,","that he frights my heart,",0 0 1 0 1,emotions,anatomy,,,,,
"Walks heauyly, as if his soule were earth:","Walks heauyly, as if his soule were earth",1 1 0 0 0 1 0 1,movement,weight,religion,nature,,,
his mony cannot make them [his sins] last.,his mony cannot make them [his sins] last.,0 1 0 0 1 0 1 1,economics,religion,preservation,,,,
to driue it [the sins] from his heart.,to driue it [the sins] from his heart.,0 1 1 0 1 0 0 1,hunting,religion,anatomy,,,,
"the last throw, it made Fiue hundred Angels vanish from my sight, Ime damnd, Ime damnd: the Angels haue forsook me","the last throw, it made Fiue hundred Angels vanish from my sight, Ime damnd, Ime damnd the Angels haue forsook me",0 0 1 0 0 1 1 1 1 0 0 1 0 1 0 1 0 1 0 1 0,games & sports,quantities,economics,appearance,sensations,religion,privation
"A vengeance strip thee naked, ","A vengeance strip thee naked, ",0 1 1 0 1,violence,clothes,,,,,
both beggery of the soule as of the bodie.,both beggery of the soule as of the bodie.,0 1 0 0 1 0 0 0 1,economics,religion,anatomy,,,,
As if some vexed spirit Had got his form vpon him.,As if some vexed spirit Had got his form vpon him.,0 0 0 1 1 0 0 0 1 0 0,emotions,religion,appearance,,,,
"that morgage sits like a snaffle vpon mine inheritance, and makes me chew vpon Iron. ","that morgage sits like a snaffle vpon mine inheritance, and makes me chew vpon Iron. ",0 1 0 0 0 1 0 0 1 0 0 0 1 0 1,economics,equestrian,food,materials,,,
